horizon,policy,success,collisions,avg_return,avg_attention_used,avg_info
12,baseline,836,1164,-1.7342999999999413,0.0,0.0
12,greedy,0,114,-1.7670199999999148,5.0,3.563864708637031
12,budgeted,1572,428,1.0489000000000301,2.0,-0.0444378494305665
14,baseline,836,1164,-1.7342999999999413,0.0,0.0
14,greedy,0,114,-1.89904000000007,5.0,3.563864708637031
14,budgeted,1572,428,1.0489000000000301,2.0,-0.0444378494305665
16,baseline,836,1164,-1.7342999999999413,0.0,0.0
16,greedy,1886,114,1.8069500000000598,5.0,3.563864708637031
16,budgeted,1572,428,1.0489000000000301,2.0,-0.0444378494305665
18,baseline,836,1164,-1.7342999999999413,0.0,0.0
18,greedy,1886,114,1.8069500000000598,5.0,3.563864708637031
18,budgeted,1572,428,1.0489000000000301,2.0,-0.0444378494305665
